longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-117.03,32.71,33.0,3126.0,627.0,2300.0,623.0,3.2596,NEAR OCEAN
-118.16,33.77,49.0,3382.0,787.0,1314.0,756.0,3.8125,NEAR OCEAN
-120.48,34.66,4.0,1897.0,331.0,915.0,336.0,4.1563,NEAR OCEAN
-117.11,32.69,36.0,1421.0,367.0,1418.0,355.0,1.9425,NEAR OCEAN
-119.8,36.78,43.0,2382.0,431.0,874.0,380.0,3.5542,INLAND
-121.86,37.42,20.0,5032.0,808.0,2695.0,801.0,6.6227,<1H OCEAN
-117.97,34.04,28.0,1686.0,417.0,1355.0,388.0,2.5192,<1H OCEAN
-122.53,37.91,37.0,2524.0,398.0,999.0,417.0,7.9892,NEAR BAY
-117.9,34.13,5.0,1126.0,316.0,819.0,311.0,1.5,<1H OCEAN
-117.79,34.02,5.0,18690.0,2862.0,9427.0,2777.0,6.4266,<1H OCEAN
-122.45,37.72,52.0,982.0,197.0,653.0,171.0,4.2167,NEAR BAY
-118.35,33.97,25.0,1864.0,616.0,1710.0,575.0,2.2303,<1H OCEAN
-119.72,37.46,13.0,1999.0,375.0,750.0,308.0,2.875,INLAND
-121.88,37.33,36.0,1904.0,689.0,3561.0,632.0,2.0972,<1H OCEAN
-118.34,34.18,46.0,1393.0,301.0,714.0,295.0,2.8125,<1H OCEAN
-118.23,33.89,36.0,2598.0,514.0,1872.0,514.0,3.1667,<1H OCEAN
-121.65,36.67,52.0,2351.0,459.0,1169.0,439.0,2.8924,<1H OCEAN
-121.34,38.03,20.0,4213.0,751.0,2071.0,714.0,4.4063,INLAND
-118.43,34.32,34.0,2657.0,515.0,1948.0,532.0,4.233,<1H OCEAN
-118.28,33.93,21.0,847.0,278.0,1283.0,277.0,1.4329,<1H OCEAN
-117.34,34.16,31.0,1606.0,354.0,1049.0,335.0,2.1935,INLAND
-121.98,37.24,35.0,3574.0,485.0,1325.0,476.0,8.5425,<1H OCEAN
-123.15,38.94,22.0,2163.0,436.0,1048.0,358.0,2.7171,<1H OCEAN
-118.28,33.98,43.0,1240.0,312.0,1100.0,311.0,1.575,<1H OCEAN
-122.31,40.89,18.0,754.0,161.0,247.0,107.0,2.2583,INLAND
-122.28,37.89,52.0,2070.0,329.0,722.0,306.0,5.4171,NEAR BAY
-121.57,39.48,15.0,202.0,54.0,145.0,40.0,0.8252,INLAND
-118.26,34.08,46.0,945.0,250.0,910.0,252.0,3.5039,<1H OCEAN
-118.07,33.8,22.0,1391.0,338.0,810.0,295.0,3.8792,<1H OCEAN
-120.79,36.06,29.0,1916.0,386.0,1019.0,314.0,2.4881,<1H OCEAN
-117.07,33.12,32.0,2474.0,499.0,1224.0,461.0,2.7216,<1H OCEAN
-118.01,34.55,2.0,2701.0,530.0,1368.0,430.0,4.071,INLAND
-118.4,33.99,39.0,1613.0,380.0,1113.0,356.0,2.825,<1H OCEAN
-118.06,34.08,37.0,778.0,205.0,850.0,198.0,2.5119,<1H OCEAN
-117.01,32.79,31.0,3776.0,815.0,1886.0,799.0,3.4421,<1H OCEAN
-118.11,33.88,35.0,1623.0,304.0,868.0,272.0,3.5893,<1H OCEAN
-122.36,40.66,17.0,2786.0,559.0,1528.0,517.0,2.0119,INLAND
-118.21,33.97,52.0,4220.0,908.0,3731.0,892.0,3.1901,<1H OCEAN
-118.06,33.86,16.0,5603.0,938.0,3045.0,893.0,5.0778,<1H OCEAN
-117.92,33.65,28.0,1087.0,423.0,807.0,425.0,0.9702,<1H OCEAN
-118.47,34.1,32.0,8041.0,1141.0,2768.0,1106.0,11.1978,<1H OCEAN
-118.03,34.1,31.0,2647.0,539.0,1473.0,520.0,3.94,INLAND
-117.41,33.93,35.0,793.0,150.0,669.0,128.0,4.0156,INLAND
-118.38,33.97,42.0,1859.0,337.0,813.0,326.0,6.019,<1H OCEAN
-118.02,33.76,25.0,1759.0,404.0,1404.0,385.0,3.6289,<1H OCEAN
-117.05,32.95,17.0,4814.0,1091.0,3013.0,1078.0,3.2369,<1H OCEAN
-121.51,38.55,45.0,3032.0,631.0,1341.0,597.0,2.8417,INLAND
-118.07,33.91,29.0,2387.0,570.0,1978.0,548.0,3.1957,<1H OCEAN
-117.7,33.6,25.0,1321.0,295.0,396.0,278.0,3.1131,<1H OCEAN
-118.14,34.17,52.0,2667.0,486.0,1681.0,504.0,4.0524,<1H OCEAN
-118.26,34.07,46.0,2341.0,703.0,2371.0,648.0,2.4038,<1H OCEAN
-122.07,37.94,43.0,1454.0,234.0,683.0,258.0,4.475,NEAR BAY
-121.65,39.76,31.0,1599.0,318.0,794.0,303.0,3.0,INLAND
-117.01,32.77,34.0,3330.0,723.0,1592.0,656.0,2.6678,<1H OCEAN
-118.35,34.06,52.0,2837.0,602.0,1164.0,551.0,3.2411,<1H OCEAN
-117.7,33.5,4.0,7474.0,1037.0,2969.0,1007.0,8.7591,<1H OCEAN
-122.08,37.82,4.0,2045.0,237.0,830.0,252.0,11.3421,NEAR BAY
